Lane,Sample,Index,,,Sample,Index
*,MGH1703,SI-NA-A1,,,B0085,SI-GA-A1
1,MGH1365,SI-NA-B1,,,,
1,H0196,SI-NA-C1,,,,
1,H0723,SI-NA-D1,,,,
1,H0321,SI-NA-E1,,,,
1,H1178,SI-NA-F1,,,,
1,B0085,SI-NA-G1,,,,
1,M0043,SI-NA-H1,,,,
2,MGH1703,SI-NA-A1,,,,
2,MGH1365,SI-NA-B1,,,,
2,H0196,SI-NA-C1,,,,
2,H0723,SI-NA-D1,,,,
2,H0321,SI-NA-E1,,,,
2,H1178,SI-NA-F1,,,,
2,B0085,SI-NA-G1,,,,
2,M0043,SI-NA-H1,,,,
3,MGH1703,SI-NA-A1,,,,
3,MGH1365,SI-NA-B1,,,,
3,H0196,SI-NA-C1,,,,
3,H0723,SI-NA-D1,,,,
3,H0321,SI-NA-E1,,,,
3,H1178,SI-NA-F1,,,,
3,B0085,SI-NA-G1,,,,
3,M0043,SI-NA-H1,,,,
4,MGH1703,SI-NA-A1,,,,
4,MGH1365,SI-NA-B1,,,,
4,H0196,SI-NA-C1,,,,
4,H0723,SI-NA-D1,,,,
4,H0321,SI-NA-E1,,,,
4,H1178,SI-NA-F1,,,,
4,B0085,SI-NA-G1,,,,
4,M0043,SI-NA-H1,,,,